Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1469916000.0 1.0 52 139 118 NA NA 88 183 168 NA NA 1744 501 499 NA NA 1815 569 573 NA NA
1469916000.0 1000.0 NA 175 89 0 43 NA 241 137 0 65 NA 2410 393 391 100 NA 3169 746 429 129
1469916000.0 1001.0 NA 166 33 0 NA NA 218 63 0 NA NA 2472 61 59 NA NA 2740 96 85 NA
1469916000.0 1002.0 NA 168 50 NA NA NA 222 83 NA NA NA 2559 179 NA NA NA 2706 208 NA NA
1469916000.0 1003.0 NA 167 0 NA NA NA 233 0 NA NA NA 4322 495 NA NA NA 4677 534 NA NA
1469916000.0 101.0 87 NA NA NA NA 125 NA NA NA NA 940 NA NA NA NA 988 NA NA NA NA
1469916000.0 102.0 86 NA NA NA NA 124 NA NA NA NA 750 NA NA NA NA 780 NA NA NA NA
1469916000.0 105.0 51 150 37 NA NA 88 201 64 NA NA 1756 573 27 NA NA 1848 654 47 NA NA
1469916000.0 106.0 46 0 0 NA NA 78 0 0 NA NA 560 468 327 NA NA 598 556 388 NA NA
1469916000.0 107.0 53 152 172 NA NA 89 203 222 NA NA 2931 527 591 NA NA 3240 643 666 NA NA
1469916000.0 109.0 52 152 171 NA NA 87 203 222 NA NA 2226 556 631 NA NA 2512 704 747 NA NA
1469916000.0 110.0 49 150 167 NA NA 82 200 218 NA NA 979 778 750 NA NA 1070 901 826 NA NA
1469916000.0 111.0 53 152 170 NA NA 88 203 221 NA NA 1705 477 515 NA NA 2045 610 699 NA NA
1469916000.0 113.0 53 151 171 NA NA 90 204 222 NA NA 2770 514 593 NA NA 3197 618 662 NA NA
1469916000.0 114.0 53 149 170 NA NA 89 204 221 NA NA 2555 524 616 NA NA 2851 631 707 NA NA
1469916000.0 115.0 53 150 178 NA NA 91 204 222 NA NA 3872 510 495 NA NA 4129 597 541 NA NA
1469916000.0 116.0 53 151 172 NA NA 91 205 222 NA NA 3340 533 555 NA NA 3620 711 608 NA NA
1469916000.0 120.0 48 151 168 NA NA 76 200 218 NA NA 709 727 801 NA NA 833 839 883 NA NA
1469916000.0 1200.0 74 184 0 NA NA 121 231 0 NA NA 243 907 134 NA NA 393 1021 153 NA NA
1469916000.0 122.0 53 150 172 NA NA 88 202 221 NA NA 961 439 462 NA NA 1265 515 557 NA NA
1469916000.0 123.1 210 NA NA NA NA 273 NA NA NA NA 978 NA NA NA NA 1106 NA NA NA NA
1469916000.0 123.3 198 NA NA NA NA 259 NA NA NA NA 793 NA NA NA NA 911 NA NA NA NA
1469916000.0 124.4 207 NA NA NA NA 267 NA NA NA NA 803 NA NA NA NA 985 NA NA NA NA
1469916000.0 124.5 206 NA NA NA NA 267 NA NA NA NA 838 NA NA NA NA 1027 NA NA NA NA
1469916000.0 125.0 54 155 186 NA NA 91 204 222 NA NA 2602 391 453 NA NA 2639 468 488 NA NA
1469916000.0 127.0 48 151 168 NA NA 77 200 218 NA NA 1199 795 776 NA NA 1285 906 843 NA NA
1469916000.0 128.0 47 149 167 NA NA 76 200 218 NA NA 537 586 581 NA NA 575 684 648 NA NA
1469916000.0 129.0 48 150 167 NA NA 76 200 218 NA NA 697 740 788 NA NA 846 865 884 NA NA
1469916000.0 130.0 49 150 168 NA NA 77 200 218 NA NA 820 760 757 NA NA 918 918 834 NA NA
1469916000.0 1301.0 58 140 121 NA NA 95 190 174 NA NA 1399 500 495 NA NA 1702 780 599 NA NA
1469916000.0 131.0 49 151 169 NA NA 83 201 219 NA NA 1346 561 628 NA NA 1436 636 708 NA NA
1469916000.0 132.0 53 152 175 NA NA 89 207 225 NA NA 3282 567 561 NA NA 3529 795 627 NA NA
1469916000.0 134.0 NA 171 28 0 NA NA 224 59 0 NA NA 2947 56 58 NA NA 3169 88 86 NA
1469916000.0 1340.0 60 155 177 0 NA 95 204 228 0 NA 998 449 471 776 NA 1423 1015 753 843 NA
1469916000.0 135.1 0 NA NA NA NA 0 NA NA NA NA 479 NA NA NA NA 574 NA NA NA NA
1469916000.0 135.2 0 NA NA NA NA 0 NA NA NA NA 452 NA NA NA NA 536 NA NA NA NA
1469916000.0 135.3 0 NA NA NA NA 0 NA NA NA NA 456 NA NA NA NA 540 NA NA NA NA
1469916000.0 135.4 0 NA NA NA NA 0 NA NA NA NA 450 NA NA NA NA 520 NA NA NA NA
1469916000.0 135.5 0 NA NA NA NA 0 NA NA NA NA 439 NA NA NA NA 499 NA NA NA NA
1469916000.0 135.6 0 NA NA NA NA 0 NA NA NA NA 458 NA NA NA NA 539 NA NA NA NA
1469916000.0 135.7 0 NA NA NA NA 0 NA NA NA NA 476 NA NA NA NA 597 NA NA NA NA
1469916000.0 135.8 131 NA NA NA NA 173 NA NA NA NA 430 NA NA NA NA 488 NA NA NA NA
1469916000.0 1351.0 61 158 177 0 NA 96 203 227 0 NA 1112 599 633 1302 NA 1280 729 743 1369 NA
1469916000.0 15.0 NA 152 181 0 NA NA 211 218 0 NA NA 1110 1264 638 NA NA 1179 1297 655 NA
1469916000.0 18.0 NA 153 168 0 NA NA 210 218 0 NA NA 1261 1572 780 NA NA 1793 1787 831 NA
1469916000.0 20.0 NA 152 173 0 NA NA 213 219 0 NA NA 1344 1439 679 NA NA 1461 1523 723 NA
1469916000.0 202.0 NA 172 193 0 NA NA 233 254 0 NA NA 986 1644 823 NA NA 1461 1851 870 NA
1469916000.0 203.0 NA 171 189 0 NA NA 231 249 0 NA NA 854 1381 809 NA NA 1393 1499 869 NA
1469916000.0 21.0 NA 157 169 0 NA NA 214 219 0 NA NA 1492 2115 727 NA NA 1906 2266 776 NA
1469916000.0 25400.0 0 NA NA NA NA 0 NA NA NA NA 433 NA NA NA NA 494 NA NA NA NA
1469916000.0 25401.0 0 NA NA NA NA 0 NA NA NA NA 499 NA NA NA NA 862 NA NA NA NA
1469916000.0 4.22 NA 106 43 50 0 NA 160 73 88 0 NA 945 82 106 224 NA 1088 115 185 263
1469916000.0 4.24 NA 163 0 NA NA NA 212 0 NA NA NA 2651 567 NA NA NA 2840 656 NA NA
1469916000.0 4.26 NA 162 0 NA NA NA 211 0 NA NA NA 3259 545 NA NA NA 3502 608 NA NA
1469916000.0 4.27 NA 162 0 NA NA NA 211 0 NA NA NA 3288 490 NA NA NA 3559 528 NA NA
1469916000.0 4.28 NA 170 0 NA NA NA 228 0 NA NA NA 1615 724 NA NA NA 1967 775 NA NA
1469916000.0 4.34 NA 178 0 NA NA NA 231 0 NA NA NA 3292 845 NA NA NA 3596 971 NA NA
1469916000.0 4.37 NA 165 0 NA NA NA 214 0 NA NA NA 4352 529 NA NA NA 4685 558 NA NA
1469916000.0 4.58 NA 171 0 NA NA NA 238 0 NA NA NA 4252 340 NA NA NA 4664 384 NA NA
1469916000.0 4.6 NA 162 0 NA NA NA 211 0 NA NA NA 1994 328 NA NA NA 2242 380 NA NA
1469916000.0 400.0 239 0 NA NA NA 302 0 NA NA NA 1749 148 NA NA NA 1923 169 NA NA NA
1469916000.0 4001.0 NA 172 193 NA NA NA 233 254 NA NA NA 979 1628 NA NA NA 1464 2287 NA NA
1469916000.0 4006.0 49 165 189 NA NA 82 226 251 NA NA 1070 884 1282 NA NA 1654 1039 1414 NA NA
1469916000.0 4007.0 46 0 0 NA NA 79 0 0 NA NA 523 469 341 NA NA 570 552 394 NA NA
1469916000.0 5.2 201 0 NA NA NA 260 0 NA NA NA 778 113 NA NA NA 915 132 NA NA NA
1469916000.0 503.0 24 0 NA NA NA 52 0 NA NA NA 96 12 NA NA NA 122 24 NA NA NA
1469916000.0 507.0 24 0 NA NA NA 52 0 NA NA NA 84 12 NA NA NA 100 26 NA NA NA
1469916000.0 510.0 24 0 NA NA NA 52 0 NA NA NA 168 12 NA NA NA 202 25 NA NA NA
1469916000.0 511.0 29 0 NA NA NA 56 0 NA NA NA 566 13 NA NA NA 592 23 NA NA NA
1469916000.0 512.0 19 33 0 NA NA 110 55 0 NA NA 12 35 13 NA NA 4925 64 33 NA NA
1469916000.0 513.0 28 0 NA NA NA 66 0 NA NA NA 37 13 NA NA NA 52 25 NA NA NA
1469916000.0 516.0 29 0 NA NA NA 66 0 NA NA NA 38 13 NA NA NA 58 26 NA NA NA
1469916000.0 519.0 30 0 NA NA NA 67 0 NA NA NA 38 12 NA NA NA 57 22 NA NA NA
1469916000.0 526.0 19 32 0 NA NA 110 55 0 NA NA 12 40 14 NA NA 4930 70 34 NA NA
1469916000.0 528.0 28 0 NA NA NA 67 0 NA NA NA 42 13 NA NA NA 63 29 NA NA NA
1469916000.0 529.0 20 33 0 NA NA 110 55 0 NA NA 14 55 16 NA NA 3229 72 32 NA NA
1469916000.0 8.0 NA 143 106 39 0 NA 196 149 64 0 NA 1362 1446 101 636 NA 1467 1510 127 672
