Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1469916000.0 118.0 50 77 194 NA 96 142 253 NA 9531 895 1006 NA 10113 1406 1151 NA
1469916000.0 1302.0 58 141 169 NA 105 200 228 NA 4196 454 455 NA 4551 515 1428 NA
1469916000.0 134.703 NA 40 214 0 NA 87 289 0 NA 193 7027 666 NA 723 12137 698
1469916000.0 134.706 NA 42 216 0 NA 86 286 0 NA 196 7648 689 NA 677 12701 718
1469916000.0 134.708 NA 40 206 0 NA 84 278 0 NA 193 6281 669 NA 723 11448 699
1469916000.0 134.807 NA 83 237 0 NA 143 299 0 NA 539 5458 386 NA 714 7154 488
1469916000.0 134.808 NA 82 240 0 NA 144 303 0 NA 536 5592 386 NA 674 6894 471
1469916000.0 134.902 NA 40 204 0 NA 88 278 0 NA 206 6612 664 NA 722 11946 707
1469916000.0 134.905 NA 40 204 0 NA 86 279 0 NA 204 5973 672 NA 678 11439 703
1469916000.0 134.909 NA 40 203 0 NA 87 278 0 NA 204 6394 641 NA 679 11795 688
1469916000.0 134.99601 NA 39 225 0 NA 86 282 0 NA 169 5919 359 NA 317 7706 396
1469916000.0 135.6 223 0 100 NA 301 0 159 NA 1592 599 371 NA 4933 637 661 NA
1469916000.0 204.0 50 81 203 0 96 149 270 0 3619 518 720 406 3757 895 1492 767
1469916000.0 250409.0 239 0 104 NA 332 0 161 NA 3446 584 864 NA 6720 609 986 NA
1469916000.0 25405.0 261 0 101 NA 372 0 160 NA 2713 276 217 NA 4225 705 291 NA
1469916000.0 25407.0 256 0 105 NA 351 0 162 NA 2294 257 201 NA 3327 577 405 NA
1469916000.0 25409.0 261 0 102 NA 367 0 160 NA 2818 284 235 NA 5796 294 375 NA
1469916000.0 280.0 80 74 191 0 166 142 254 0 4097 308 367 360 4276 680 471 440
1469916000.0 36.0 NA 87 197 0 NA 151 262 0 NA 1850 6172 462 NA 1923 6820 486
1469916000.0 4.42 NA 38 205 0 NA 79 274 0 NA 185 7554 607 NA 622 13046 629
1469916000.0 4.45 NA 41 222 0 NA 78 273 0 NA 268 11089 746 NA 337 11762 770
1469916000.0 4.52 NA 39 224 0 NA 78 276 0 NA 274 11812 797 NA 333 12514 820
1469916000.0 4.57 NA 52 225 0 NA 92 281 0 NA 125 6038 362 NA 224 6599 396
1469916000.0 4.64 NA 41 219 0 NA 78 275 0 NA 131 5135 348 NA 197 5390 395
1469916000.0 4.73 NA 42 221 0 NA 80 277 0 NA 133 5186 329 NA 189 5602 365
1469916000.0 500200.0 NA 117 238 0 NA 196 307 0 NA 3647 1299 425 NA 5087 1847 552
1469916000.0 500200.1 57 103 165 NA 104 155 227 NA 3491 485 962 NA 3860 669 1441 NA
1469916000.0 500202.0 NA 123 242 0 NA 200 312 0 NA 4049 1646 417 NA 4468 2917 434
1469916000.0 50204.0 NA 110 258 0 NA 162 342 0 NA 2656 3849 971 NA 3292 6151 1985
1469916000.0 50205.0 NA 110 254 0 NA 160 341 0 NA 2415 3514 954 NA 3047 6171 1967
1469916000.0 50207.0 NA 104 256 0 NA 155 336 0 NA 2410 3371 948 NA 4447 5260 1965
